po_id,po_number,vendor_id,po_date,po_amount,currency,description,delivery_date,status,line_items_count
PO-0001,PO3842-4981,VENDOR-0009,2025-08-20,96111.51,INR,Reverse-engineered optimal collaboration,2025-09-22,CLOSED,2
PO-0002,PO7844-7364,VENDOR-0004,2025-09-24,4410277.66,INR,Compatible system-worthy approach,2025-10-20,OPEN,5
PO-0003,PO7677-3592,VENDOR-0004,2025-10-06,4177037.53,INR,Universal foreground superstructure,2025-11-09,OPEN,9
PO-0004,PO6258-8153,VENDOR-0002,2025-11-04,4094665.47,INR,Decentralized encompassing knowledge user,2025-12-10,CLOSED,2
PO-0005,PO7877-4701,VENDOR-0006,2025-09-16,3043907.64,INR,Profit-focused logistical encoding,2025-10-07,OPEN,5
PO-0006,PO9500-4797,VENDOR-0013,2025-10-12,1293050.2,INR,Public-key 24/7 benchmark,2025-10-28,OPEN,2
PO-0007,PO2456-5060,VENDOR-0015,2025-10-04,4155273.04,INR,Multi-lateral neutral forecast,2025-10-29,CLOSED,3
PO-0008,PO8523-9868,VENDOR-0013,2025-08-12,603775.71,INR,Balanced 5thgeneration challenge,2025-09-18,OPEN,3
PO-0009,PO7872-9825,VENDOR-0013,2025-08-15,4181245.35,INR,Diverse hybrid pricing structure,2025-09-03,CLOSED,7
PO-0010,PO9409-7499,VENDOR-0020,2025-09-25,1089878.86,INR,Up-sized actuating paradigm,2025-10-13,CLOSED,6
PO-0011,PO6263-6897,VENDOR-0020,2025-09-10,4329798.2,INR,Triple-buffered client-driven model,2025-10-20,OPEN,3
PO-0012,PO8578-6527,VENDOR-0020,2025-10-02,172692.49,INR,Quality-focused heuristic service-desk,2025-10-27,OPEN,7
PO-0013,PO9733-4843,VENDOR-0018,2025-11-04,4327116.94,INR,Visionary executive strategy,2025-11-27,OPEN,3
PO-0014,PO7575-8441,VENDOR-0018,2025-11-08,585073.35,INR,Object-based grid-enabled throughput,2025-12-20,OPEN,8
PO-0015,PO4041-5747,VENDOR-0005,2025-09-05,4092103.7,INR,Exclusive national flexibility,2025-09-29,CLOSED,4
PO-0016,PO5712-0826,VENDOR-0009,2025-09-15,4328547.06,INR,Polarized solution-oriented customer loyalty,2025-10-08,OPEN,6
PO-0017,PO5401-9380,VENDOR-0015,2025-10-15,2028408.0,INR,Operative context-sensitive alliance,2025-11-16,OPEN,6
PO-0018,PO7240-0499,VENDOR-0002,2025-08-25,4391340.14,INR,Managed executive knowledgebase,2025-09-27,CLOSED,5
PO-0019,PO4932-9668,VENDOR-0017,2025-09-20,2210149.73,INR,Cross-group impactful secured line,2025-10-08,OPEN,7
PO-0020,PO2275-3046,VENDOR-0020,2025-10-23,990889.93,INR,Organized web-enabled flexibility,2025-11-20,CLOSED,1
PO-0021,PO8414-5933,VENDOR-0009,2025-10-05,396370.37,INR,Polarized coherent knowledgebase,2025-10-30,CLOSED,10
PO-0022,PO0883-9822,VENDOR-0013,2025-09-19,3351119.88,INR,Programmable leadingedge budgetary management,2025-10-26,CLOSED,5
PO-0023,PO0640-3910,VENDOR-0015,2025-09-02,3096798.83,INR,Monitored tangible architecture,2025-10-04,CLOSED,1
PO-0024,PO1825-1286,VENDOR-0012,2025-10-06,2238691.01,INR,Upgradable directional ability,2025-11-05,CLOSED,3
PO-0025,PO0690-3311,VENDOR-0003,2025-09-10,3380338.57,INR,Organized radical service-desk,2025-10-01,CLOSED,3
PO-0026,PO3428-3644,VENDOR-0012,2025-10-03,4436377.7,INR,Realigned optimizing support,2025-11-09,CLOSED,7
PO-0027,PO3342-7086,VENDOR-0020,2025-08-24,3903181.01,INR,Realigned multi-tasking challenge,2025-10-03,CLOSED,9
PO-0028,PO1398-3735,VENDOR-0012,2025-08-28,4017012.18,INR,Advanced didactic core,2025-09-29,CLOSED,10
PO-0029,PO5877-1753,VENDOR-0019,2025-10-20,2257272.38,INR,Intuitive incremental analyzer,2025-12-01,CLOSED,8
PO-0030,PO9378-5477,VENDOR-0018,2025-10-16,2448755.23,INR,Down-sized upward-trending utilization,2025-11-14,CLOSED,2
PO-0031,PO2312-0387,VENDOR-0009,2025-10-19,448859.41,INR,Centralized regional productivity,2025-11-15,CLOSED,3
PO-0032,PO2118-2339,VENDOR-0009,2025-10-19,2356325.3,INR,Multi-channeled encompassing utilization,2025-11-29,CLOSED,7
PO-0033,PO6870-0217,VENDOR-0019,2025-10-23,1932886.09,INR,Stand-alone zero tolerance groupware,2025-11-18,CLOSED,5
PO-0034,PO0392-6142,VENDOR-0012,2025-09-08,1401029.79,INR,Re-contextualized human-resource service-desk,2025-10-05,CLOSED,6
PO-0035,PO0477-3586,VENDOR-0019,2025-10-09,4601731.02,INR,Enterprise-wide systemic paradigm,2025-11-10,OPEN,1
PO-0036,PO1943-1142,VENDOR-0020,2025-09-30,2979869.24,INR,Universal zero tolerance productivity,2025-10-17,CLOSED,7
PO-0037,PO7888-6101,VENDOR-0009,2025-09-07,2300761.66,INR,Reactive background policy,2025-10-20,CLOSED,7
PO-0038,PO4472-1264,VENDOR-0019,2025-08-21,2378018.84,INR,Innovative mission-critical toolset,2025-09-06,OPEN,6
PO-0039,PO5437-9937,VENDOR-0005,2025-11-02,389660.93,INR,Devolved exuding ability,2025-11-18,OPEN,1
PO-0040,PO5965-7569,VENDOR-0005,2025-09-05,4204182.79,INR,Innovative fresh-thinking portal,2025-09-27,CLOSED,3
PO-0041,PO5193-9828,VENDOR-0012,2025-11-08,1318406.3,INR,Upgradable maximized strategy,2025-12-12,CLOSED,10
PO-0042,PO7979-6886,VENDOR-0006,2025-08-24,2914489.43,INR,Multi-lateral tangible workforce,2025-09-26,OPEN,7
PO-0043,PO1352-9096,VENDOR-0010,2025-09-05,426182.57,INR,Optional bi-directional access,2025-10-10,CLOSED,4
PO-0044,PO5071-4611,VENDOR-0018,2025-10-22,3924044.96,INR,Monitored fault-tolerant Graphical User Interface,2025-11-19,CLOSED,6
PO-0045,PO5123-8282,VENDOR-0019,2025-10-03,4120538.04,INR,Realigned interactive Local Area Network,2025-11-17,CLOSED,6
PO-0046,PO4191-8255,VENDOR-0004,2025-10-16,4829094.97,INR,Persevering bifurcated firmware,2025-11-25,CLOSED,9
PO-0047,PO9912-5134,VENDOR-0009,2025-09-11,4162118.54,INR,Enterprise-wide holistic solution,2025-10-24,CLOSED,8
